end,label,match_type,sample_id,score,source,start,text
21,PERSON,exact,exp_0001,0.64,gliner_heuristic,9,Ava Thompson
73,AMOUNT,exact,exp_0001,0.99,rule,66,$420.00
85,AMOUNT,exact,exp_0001,0.99,rule,79,$21.00
97,AMOUNT,exact,exp_0001,0.99,rule,91,$31.15
111,DATE,exact,exp_0001,0.99,rule,101,2026-04-05
164,INVOICE_ID,exact,exp_0001,0.99,rule,151,INV-2026-0040
186,PROJECT_CODE,exact,exp_0001,0.99,rule,174,PC-ALPHA-204
206,COST_CENTER,exact,exp_0001,0.99,rule,200,CC-612
226,EMPLOYEE_ID,exact,exp_0001,0.99,rule,220,E-4000
259,EMAIL,exact,exp_0001,0.99,rule,234,ava.thompson@corp.example
282,PHONE_NUMBER,exact,exp_0001,0.99,rule,267,+1-646-555-0131
141,VENDOR,false_positive,exp_0001,0.56,gliner_heuristic,115,vendor North Point Kitchen
19,PERSON,exact,exp_0002,0.64,gliner_heuristic,9,Priya Shah
34,AMOUNT,exact,exp_0002,0.99,rule,27,$450.00
48,DATE,exact,exp_0002,0.99,rule,38,2026-04-21
64,VENDOR,exact,exp_0002,0.56,gliner_heuristic,52,Harbor Grill
84,EMPLOYEE_ID,exact,exp_0002,0.99,rule,78,E-4001
102,CARD_LAST4,exact,exp_0002,0.99,rule,98,4801
133,EMAIL,exact,exp_0002,0.99,rule,110,priya.shah@corp.example
156,PHONE_NUMBER,exact,exp_0002,0.99,rule,141,+1-312-555-0191
21,PERSON,exact,exp_0003,0.64,gliner_heuristic,9,Sarah Brooks
69,DATE,exact,exp_0003,0.99,rule,59,2026-04-12
89,EMPLOYEE_ID,exact,exp_0003,0.99,rule,83,E-4002
110,VENDOR,exact,exp_0003,0.56,gliner_heuristic,98,Harbor Grill
126,AMOUNT,exact,exp_0003,0.99,rule,119,$450.00
156,CARD_LAST4,exact,exp_0003,0.99,rule,152,4802
223,PROJECT_CODE,exact,exp_0003,0.99,rule,211,PC-ALPHA-204
243,COST_CENTER,exact,exp_0003,0.99,rule,237,CC-410
266,INVOICE_ID,exact,exp_0003,0.99,rule,253,INV-2026-0042
312,EMAIL,exact,exp_0003,0.99,rule,287,sarah.brooks@corp.example
331,PHONE_NUMBER,exact,exp_0003,0.99,rule,316,+1-718-555-0152
20,PERSON,exact,exp_0004,0.64,gliner_heuristic,9,John Miller
68,DATE,exact,exp_0004,0.99,rule,58,2026-04-13
88,EMPLOYEE_ID,exact,exp_0004,0.99,rule,82,E-4003
116,VENDOR,exact,exp_0004,0.56,gliner_heuristic,97,North Point Kitchen
132,AMOUNT,exact,exp_0004,0.99,rule,125,$482.15
162,CARD_LAST4,exact,exp_0004,0.99,rule,158,4803
227,PROJECT_CODE,exact,exp_0004,0.99,rule,216,PC-NOVA-117
247,COST_CENTER,exact,exp_0004,0.99,rule,241,CC-730
270,INVOICE_ID,exact,exp_0004,0.99,rule,257,INV-2026-0043
315,EMAIL,exact,exp_0004,0.99,rule,291,john.miller@corp.example
334,PHONE_NUMBER,exact,exp_0004,0.99,rule,319,+1-617-555-0142
20,PERSON,exact,exp_0005,0.64,gliner_heuristic,9,John Miller
50,VENDOR,exact,exp_0005,0.56,gliner_heuristic,34,Motel 6 Downtown
64,DATE,exact,exp_0005,0.99,rule,54,2026-04-05
113,AMOUNT,exact,exp_0005,0.99,rule,106,$640.00
133,EMPLOYEE_ID,exact,exp_0005,0.99,rule,127,E-4004
156,INVOICE_ID,exact,exp_0005,0.99,rule,143,INV-2026-0044
177,PROJECT_CODE,exact,exp_0005,0.99,rule,166,PC-NOVA-117
197,COST_CENTER,exact,exp_0005,0.99,rule,191,CC-730
215,CARD_LAST4,exact,exp_0005,0.99,rule,211,4804
249,EMAIL,exact,exp_0005,0.99,rule,225,john.miller@corp.example
268,PHONE_NUMBER,exact,exp_0005,0.99,rule,253,+1-617-555-0142
21,PERSON,exact,exp_0006,0.64,gliner_heuristic,9,Elena Garcia
69,DATE,exact,exp_0006,0.99,rule,59,2026-04-15
89,EMPLOYEE_ID,exact,exp_0006,0.99,rule,83,E-4005
110,VENDOR,exact,exp_0006,0.56,gliner_heuristic,98,Slate & Fork
126,AMOUNT,exact,exp_0006,0.99,rule,119,$430.00
156,CARD_LAST4,exact,exp_0006,0.99,rule,152,4805
219,PROJECT_CODE,exact,exp_0006,0.99,rule,208,PC-NOVA-117
239,COST_CENTER,exact,exp_0006,0.99,rule,233,CC-275
262,INVOICE_ID,exact,exp_0006,0.99,rule,249,INV-2026-0045
308,EMAIL,exact,exp_0006,0.99,rule,283,elena.garcia@corp.example
327,PHONE_NUMBER,exact,exp_0006,0.99,rule,312,+1-206-555-0174
374,EMAIL,false_positive,exp_0006,0.99,rule,349,elena.garcia@corp.example
19,AMOUNT,exact,exp_0007,0.99,rule,12,$482.15
57,EMAIL,exact,exp_0007,0.99,rule,32,ava.thompson@corp.example
85,PERSON,exact,exp_0007,0.62,gliner_heuristic,73,Ava Thompson
110,EMPLOYEE_ID,exact,exp_0007,0.99,rule,104,E-4006
141,INVOICE_ID,exact,exp_0007,0.99,rule,128,INV-2026-0046
169,PHONE_NUMBER,exact,exp_0007,0.99,rule,154,+1-646-555-0131
201,PROJECT_CODE,exact,exp_0007,0.99,rule,189,PC-ORBIT-518
20,PERSON,exact,exp_0008,0.64,gliner_heuristic,9,Daniel Chen
90,DATE,exact,exp_0008,0.99,rule,80,2026-04-21
110,EMPLOYEE_ID,exact,exp_0008,0.99,rule,104,E-4007
142,EMAIL,exact,exp_0008,0.99,rule,118,daniel.chen@corp.example
165,PHONE_NUMBER,exact,exp_0008,0.99,rule,150,+1-408-555-0163
20,PERSON,exact,exp_0009,0.64,gliner_heuristic,9,John Miller
83,VENDOR,exact,exp_0009,0.56,gliner_heuristic,78,Figma
100,DATE,exact,exp_0009,0.99,rule,90,2026-04-08
129,AMOUNT,exact,exp_0009,0.99,rule,122,$980.00
152,INVOICE_ID,exact,exp_0009,0.99,rule,139,INV-2026-0048
174,PROJECT_CODE,exact,exp_0009,0.99,rule,162,PC-ORBIT-518
194,COST_CENTER,exact,exp_0009,0.99,rule,188,CC-410
214,EMPLOYEE_ID,exact,exp_0009,0.99,rule,208,E-4008
246,EMAIL,exact,exp_0009,0.99,rule,222,john.miller@corp.example
269,PHONE_NUMBER,exact,exp_0009,0.99,rule,254,+1-617-555-0142
21,PERSON,exact,exp_0010,0.64,gliner_heuristic,9,Elena Garcia
52,VENDOR,exact,exp_0010,0.56,gliner_heuristic,35,Hilton Garden Inn
66,DATE,exact,exp_0010,0.99,rule,56,2026-04-10
115,AMOUNT,exact,exp_0010,0.99,rule,108,$612.40
135,EMPLOYEE_ID,exact,exp_0010,0.99,rule,129,E-4009
158,INVOICE_ID,exact,exp_0010,0.99,rule,145,INV-2026-0049
182,PROJECT_CODE,exact,exp_0010,0.99,rule,168,PC-POLARIS-336
202,COST_CENTER,exact,exp_0010,0.99,rule,196,CC-275
220,CARD_LAST4,exact,exp_0010,0.99,rule,216,4809
255,EMAIL,exact,exp_0010,0.99,rule,230,elena.garcia@corp.example
274,PHONE_NUMBER,exact,exp_0010,0.99,rule,259,+1-206-555-0174
43,EMAIL,exact,exp_0011,0.99,rule,20,priya.shah@corp.example
64,PERSON,exact,exp_0011,0.64,gliner_heuristic,54,Priya Shah
97,INVOICE_ID,exact,exp_0011,0.99,rule,84,INV-2026-0050
111,DATE,exact,exp_0011,0.99,rule,101,2026-04-20
19,PERSON,exact,exp_0012,0.64,gliner_heuristic,9,Priya Shah
58,AMOUNT,exact,exp_0012,0.99,rule,52,$54.20
72,DATE,exact,exp_0012,0.99,rule,62,2026-04-13
93,VENDOR,exact,exp_0012,0.56,gliner_heuristic,78,Metro Black Car
113,EMPLOYEE_ID,exact,exp_0012,0.99,rule,107,E-4011
136,INVOICE_ID,exact,exp_0012,0.99,rule,123,INV-2026-0051
154,CARD_LAST4,exact,exp_0012,0.99,rule,150,4811
185,EMAIL,exact,exp_0012,0.99,rule,162,priya.shah@corp.example
208,PHONE_NUMBER,exact,exp_0012,0.99,rule,193,+1-312-555-0191
20,PERSON,exact,exp_0013,0.64,gliner_heuristic,9,Daniel Chen
72,AMOUNT,exact,exp_0013,0.99,rule,65,$420.00
84,AMOUNT,exact,exp_0013,0.99,rule,78,$21.00
96,AMOUNT,exact,exp_0013,0.99,rule,90,$31.15
110,DATE,exact,exp_0013,0.99,rule,100,2026-04-07
156,INVOICE_ID,exact,exp_0013,0.99,rule,143,INV-2026-0052
177,PROJECT_CODE,exact,exp_0013,0.99,rule,166,PC-NOVA-117
197,COST_CENTER,exact,exp_0013,0.99,rule,191,CC-612
217,EMPLOYEE_ID,exact,exp_0013,0.99,rule,211,E-4012
249,EMAIL,exact,exp_0013,0.99,rule,225,daniel.chen@corp.example
272,PHONE_NUMBER,exact,exp_0013,0.99,rule,257,+1-408-555-0163
133,VENDOR,false_positive,exp_0013,0.56,gliner_heuristic,114,vendor Slate & Fork
19,PERSON,exact,exp_0014,0.64,gliner_heuristic,9,Priya Shah
82,VENDOR,exact,exp_0014,0.56,gliner_heuristic,77,Slack
99,DATE,exact,exp_0014,0.99,rule,89,2026-04-13
130,AMOUNT,exact,exp_0014,0.99,rule,121,"$1,520.00"
153,INVOICE_ID,exact,exp_0014,0.99,rule,140,INV-2026-0053
177,PROJECT_CODE,exact,exp_0014,0.99,rule,163,PC-POLARIS-336
197,COST_CENTER,exact,exp_0014,0.99,rule,191,CC-410
